154;2023-01-01;2023-02-01;sbas;60;1000;POLYGON((175.8007 52.2826,176.0213 52.2826,176.0213 52.4174,175.8007 52.4174,175.8007 52.2826));Buldir
95;2023-01-01;2023-02-01;sbas;60;1000;-168.2431 53.3626 -168.0169 53.4974;Okmok
168;2023-01-01;2023-02-01;ps;60;1000;-168.2431 53.3626 -168.0169 53.4974;Okmok
